"id","ParentID","CategoryName","Order","Active"
"1","1","Kaffee","10","1"
"2","1","Tee","20","0"
"3","1","Softdrinks","60","1"
"4","1","Säfte","30","1"
"5","1","Bier","70","1"
"6","1","Wein","80","0"
"7","1","Drinks","90","0"
"8","1","Milch","40","0"
"9","1","Milchersatz","50","0"
"10","2","Frisches Obst & Gemüse","10","1"
"11","2","Trockenfrüchte","30","1"
"12","2","Aus Konserven","20","1"
"13","3","Brot & Brötchen","10","1"
"14","3","Teigwaren","20","1"
"15","3","Reis","30","1"
"16","3","Müsli & Cornflakes","40","1"
"17","4","Käse","10","0"
"18","4","Joghurt","20","0"
"19","4","Milch","30","1"
"20","4","Milchersatz","40","1"
"21","5","Fleischgerichte","30","1"
"22","5","Wurstwaren","31","1"
"23","5","Fischgerichte","32","1"
"24","6","Pizza","10","1"
"25","6","McDonalds","20","1"
"26","6","Burger King","30","0"
"27","7","Kekse & Gebäck","40","1"
"28","7","Salziges","30","1"
"29","7","Nüsse","10","1"
"30","7","Kuchen & Torten","50","1"
"31","7","Popcorn & Chips","20","1"
